,show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in
312,s575,Movie,Kung Fu Panda 2,Jennifer Yuh Nelson,United States,07-01-2021,2011,PG,93 min,"Children & Family Movies, Comedies"
313,s576,Movie,Life as We Know It,Greg Berlanti,United States,07-01-2021,2010,PG-13,115 min,"Comedies, Dramas, Romantic Movies"
314,s577,Movie,Mary Magdalene,Garth Davis,United Kingdom,07-01-2021,2019,R,120 min,"Dramas, Faith & Spirituality, International Movies"
318,s583,Movie,Mother's Day,Garry Marshall,United States,07-01-2021,2016,PG-13,118 min,"Comedies, Dramas"
319,s584,Movie,No Strings Attached,Ivan Reitman,United States,07-01-2021,2011,R,109 min,"Comedies, Romantic Movies"
321,s586,Movie,Ophelia,Claire McCarthy,United Kingdom,07-01-2021,2018,PG-13,106 min,"Dramas, Romantic Movies"
322,s590,Movie,Red Joan,Trevor Nunn,United Kingdom,07-01-2021,2019,R,101 min,"Dramas, International Movies"
324,s593,Movie,She's Out of My League,Jim Field Smith,United States,07-01-2021,2010,R,106 min,"Comedies, Romantic Movies"
328,s597,Movie,Sword of Trust,Lynn Shelton,United States,07-01-2021,2019,R,89 min,"Comedies, Dramas, Independent Movies"
330,s599,Movie,The American,Anton Corbijn,United States,07-01-2021,2010,R,105 min,"Dramas, Thrillers"
331,s600,Movie,The Best of Enemies,Robin Bissell,United States,07-01-2021,2019,PG-13,133 min,Dramas
341,s610,Movie,The Tourist,Florian Henckel von Donnersmarck,United States,07-01-2021,2010,PG-13,103 min,"Action & Adventure, Romantic Movies"
343,s612,Movie,Underworld: Awakening,"Måns Mårlind, Björn Stein",United States,07-01-2021,2012,R,89 min,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy"
345,s614,Movie,Voiceless,Robert O. Peters,Nigeria,07-01-2021,2020,TV-MA,112 min,"Dramas, International Movies, Thrillers"
348,s617,Movie,Working Title,Mary Harron,United States,07-01-2021,2019,R,110 min,Dramas
349,s619,Movie,America: The Motion Picture,Matt Thompson,United States,6/30/2021,2021,TV-MA,98 min,"Action & Adventure, Comedies"
350,s623,Movie,Lying and Stealing,Matt Aselton,United States,6/30/2021,2019,R,100 min,Thrillers
351,s627,TV Show,Sophie: A Murder in West Cork,John Dower,United Kingdom,6/30/2021,2021,TV-MA,1 Season,"British TV Shows, Crime TV Shows, Docuseries"
352,s631,Movie,Killing Them Softly,Andrew Dominik,United States,6/28/2021,2012,R,97 min,Dramas
353,s635,Movie,Wonder Boy,Anissa Bonnefont,France,6/26/2021,2019,TV-14,83 min,"Documentaries, International Movies"
354,s636,Movie,Here Comes the Rain,Bahij Hojeij,Lebanon,6/25/2021,2010,TV-MA,101 min,"Dramas, International Movies"
355,s637,Movie,The Ice Road,Jonathan Hensleigh,United States,6/25/2021,2021,PG-13,109 min,Action & Adventure
356,s644,Movie,The Seventh Day,Justin P. Lange,United States,6/24/2021,2021,R,87 min,Horror Movies
358,s651,Movie,O Vendedor de Sonhos,Jayme Monjardim,Brazil,6/22/2021,2016,TV-14,96 min,"Dramas, International Movies"
360,s647,Movie,The House of Flowers: The Movie,Manolo Caro,Mexico,6/23/2021,2021,TV-MA,88 min,"Comedies, International Movies, Music & Musicals"
361,s655,Movie,#Selfie,Cristina Jacob,Romania,6/21/2021,2014,TV-MA,125 min,"Comedies, Dramas, International Movies"
362,s656,Movie,#Selfie 69,Cristina Jacob,Romania,6/21/2021,2016,TV-MA,119 min,"Comedies, Dramas, International Movies"
363,s657,Movie,Love Is a Story,Cristina Jacob,Romania,6/21/2021,2015,TV-MA,105 min,"International Movies, Music & Musicals, Romantic Movies"
364,s665,TV Show,Cleo & Cuquin,Fernando Moro,Spain,6/19/2021,2020,TV-Y,2 Seasons,Kids' TV
365,s677,TV Show,Riverdale,Rob Seidenglanz,United States,6/19/2021,2019,TV-14,4 Seasons,"Crime TV Shows, TV Dramas, TV Mysteries"
366,s682,TV Show,They've Gotta Have Us,Simon Frederick,United Kingdom,6/19/2021,2018,TV-MA,1 Season,"British TV Shows, Docuseries"
367,s688,Movie,Jagame Thandhiram,Karthik Subbaraj,India,6/18/2021,2021,TV-MA,159 min,"Action & Adventure, Dramas, International Movies"
368,s686,Movie,Fatherhood,Paul Weitz,United States,6/18/2021,2021,PG-13,111 min,Dramas
369,s689,Movie,Kambili: The Whole 30 Yards,Kayode Kasum,Nigeria,6/18/2021,2020,TV-14,119 min,"Comedies, International Movies, Romantic Movies"
370,s693,TV Show,The Rational Life,Hsu Fu-chun,Taiwan,6/18/2021,2021,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas"
371,s695,Movie,Aziza,Soudade Kaadan,Lebanon,6/17/2021,2019,TV-PG,13 min,"Comedies, Dramas, Independent Movies"
372,s694,Movie,Ali & Ratu Ratu Queens,Lucky Kuswandi,Indonesia,6/17/2021,2021,TV-14,101 min,"Comedies, Dramas, International Movies"
373,s696,Movie,Besieged Bread,Soudade Kaadan,Syria,6/17/2021,2015,TV-14,12 min,"Dramas, International Movies"
374,s699,Movie,Fan Girl,Antoinette Jadaone,Philippines,6/17/2021,2020,TV-MA,101 min,"Dramas, Independent Movies, International Movies"
375,s763,Movie,Sweet & Sour,Lee Kae-byeok,South Korea,06-04-2021,2021,TV-14,103 min,"Comedies, International Movies, Romantic Movies"
376,s702,Movie,Red Snow,Marie Clements,Canada,6/17/2021,2019,TV-MA,96 min,Dramas
377,s703,Movie,Silver Linings Playbook,David O. Russell,United States,6/17/2021,2012,R,122 min,"Comedies, Dramas, Independent Movies"
378,s706,Movie,Biking Borders,Max Jabs,Germany,6/16/2021,2019,TV-14,89 min,"Documentaries, International Movies, Sports Movies"
379,s709,Movie,Lowriders,Ricardo de Montreuil,United States,6/16/2021,2016,PG-13,98 min,"Dramas, Independent Movies"
380,s712,Movie,Security,Peter Chelsom,Italy,6/16/2021,2021,TV-MA,119 min,"Dramas, International Movies, Thrillers"
382,s719,Movie,Life of Crime,Daniel Schechter,United States,6/15/2021,2013,R,101 min,"Comedies, Independent Movies"
383,s722,Movie,Rogue Warfare: Death of a Nation,Mike Gunther,United States,6/15/2021,2020,R,99 min,Action & Adventure
385,s724,TV Show,The American Bible Challenge,Michael Simon,United States,6/15/2021,2014,TV-G,1 Season,Reality TV
386,s725,Movie,The Reason I Jump,Jerry Rothwell,United States,6/15/2021,2021,TV-14,82 min,Documentaries
387,s727,TV Show,Metallica: Some Kind of Monster,"Joe Berlinger, Bruce Sinofsky",United States,6/13/2021,2014,TV-MA,1 Season,TV Shows
388,s728,Movie,Picture a Scientist,"Ian Cheney, Sharon Shattuck",United States,6/13/2021,2020,TV-MA,97 min,Documentaries
389,s729,Movie,The Devil Below,Bradley Parker,United States,6/13/2021,2021,TV-MA,89 min,Horror Movies
390,s736,Movie,Sarbath,Prabhakaran,India,06-11-2021,2021,TV-PG,113 min,"Comedies, Dramas, International Movies"
391,s737,Movie,Skater Girl,Manjari Makijany,United States,06-11-2021,2021,PG,110 min,"Children & Family Movies, Dramas, International Movies"
392,s738,TV Show,Trese,Jay Oliva,Philippines,06-11-2021,2021,TV-MA,1 Season,"Anime Series, Crime TV Shows, TV Horror"
393,s740,Movie,Wish Dragon,Chris Appelhans,China,06-11-2021,2021,PG,102 min,"Children & Family Movies, Comedies"
394,s741,Movie,A Haunted House 2,Michael Tiddes,United States,06-10-2021,2014,R,86 min,"Comedies, Horror Movies"
395,s742,Movie,Blind Intersections,Lara Saba,Lebanon,06-10-2021,2012,TV-MA,91 min,"Dramas, International Movies"
396,s743,Movie,Camellia Sisters,"Bao Nhan, Namcito",Vietnam,06-10-2021,2021,TV-MA,117 min,"Dramas, International Movies"
397,s744,Movie,Copenhagen,Mark Raso,Canada,06-10-2021,2014,TV-MA,99 min,"Dramas, Independent Movies, Romantic Movies"
398,s746,Movie,Until Midnight,Tariq Alkazim,United Arab Emirates,06-10-2021,2019,TV-14,77 min,"International Movies, Thrillers"
399,s747,Movie,Awake,Mark Raso,United States,06-09-2021,2021,TV-MA,97 min,"Dramas, Thrillers"
400,s748,Movie,Confusion Na Wa,Kenneth Gyang,Nigeria,06-09-2021,2013,TV-MA,106 min,"Comedies, Dramas, International Movies"
401,s751,Movie,Tragic Jungle,Yulene Olaizola,Mexico,06-09-2021,2021,TV-MA,97 min,"Dramas, Independent Movies, International Movies"
402,s753,Movie,Vampire Academy,Mark Waters,United States,06-07-2021,2014,PG-13,104 min,"Action & Adventure, Comedies, Sci-Fi & Fantasy"
403,s755,Movie,A Private War,Matthew Heineman,United Kingdom,06-05-2021,2018,R,110 min,"Dramas, Independent Movies"
404,s757,Movie,Small Chops,Robert Peters,Nigeria,06-05-2021,2020,TV-MA,98 min,"Dramas, International Movies, Romantic Movies"
405,s758,Movie,Breaking Boundaries: The Science Of Our Planet,Jonathan Clay,United States,06-04-2021,2021,TV-PG,74 min,Documentaries
406,s759,TV Show,Feel Good,Ally Pankiw,United Kingdom,06-04-2021,2021,TV-MA,2 Seasons,"Romantic TV Shows, TV Comedies, TV Dramas"
407,s765,Movie,Trippin' with the Kandasamys,Jayan Moodley,South Africa,06-04-2021,2021,TV-14,94 min,"Comedies, International Movies, Romantic Movies"
408,s766,Movie,Xtreme,Daniel Benmayor,Spain,06-04-2021,2021,TV-MA,112 min,"Action & Adventure, International Movies"
409,s767,Movie,Alan Saldaña: Locked Up,Alex Díaz,Mexico,06-03-2021,2021,TV-MA,49 min,Stand-Up Comedy
410,s769,Movie,Dancing Queens,Helena Bergström,Sweden,06-03-2021,2021,TV-MA,111 min,"Comedies, Dramas, International Movies"
411,s770,Movie,From Stress to Happiness,"Alejandro De Grazia, Juan Stadler",Argentina,06-03-2021,2020,TV-G,58 min,"Documentaries, International Movies"
412,s771,Movie,Myriam Fares: The Journey,Myriam Fares,United Arab Emirates,06-03-2021,2021,TV-14,72 min,"Documentaries, International Movies, Music & Musicals"
413,s774,Movie,The Girl and the Gun,Rae Red,Philippines,06-03-2021,2019,TV-MA,78 min,"Dramas, International Movies, Thrillers"
414,s775,Movie,2 Hearts,Lance Hool,United States,06-02-2021,2020,PG-13,101 min,"Dramas, Faith & Spirituality, Romantic Movies"
415,s776,Movie,A Perfect Ending,Nicole Conn,United States,06-02-2021,2012,TV-MA,110 min,"Dramas, Independent Movies, LGBTQ Movies"
420,s784,Movie,Carnaval,Leandro Neri,Brazil,06-02-2021,2021,TV-MA,95 min,"Comedies, International Movies, Music & Musicals"
421,s785,Movie,Cloudburst,Thom Fitzgerald,United States,06-02-2021,2011,TV-MA,93 min,"Comedies, Dramas, Independent Movies"
422,s787,Movie,Company of Heroes,Don Michael Paul,United States,06-02-2021,2013,R,101 min,"Action & Adventure, Dramas"
425,s791,Movie,Dream/Killer,Andrew Jenks,United States,06-02-2021,2015,TV-MA,109 min,Documentaries
427,s793,Movie,Flipped,Rob Reiner,United States,06-02-2021,2010,PG,90 min,"Comedies, Dramas, Romantic Movies"
429,s795,Movie,Gold Statue,Tade Ogidan,Nigeria,06-02-2021,2019,TV-14,145 min,"Comedies, Dramas, International Movies"
430,s797,Movie,Hostel: Part III,Scott Spiegel,United States,06-02-2021,2011,R,88 min,"Cult Movies, Horror Movies"
434,s801,Movie,Mosquita y Mari,Aurora Guerrero,United States,06-02-2021,2012,TV-14,85 min,"Dramas, Independent Movies, LGBTQ Movies"
435,s802,Movie,Never Back Down 2: The Beatdown,Michael Jai White,United States,06-02-2021,2011,R,104 min,"Action & Adventure, Dramas, Sports Movies"
439,s809,Movie,Sniper: Legacy,Don Michael Paul,United States,06-02-2021,2014,R,98 min,Action & Adventure
445,s818,Movie,The Meddler,Lorene Scafaria,United States,06-02-2021,2015,PG-13,104 min,"Comedies, Dramas, Independent Movies"
446,s812,Movie,Super Monsters: Once Upon a Rhyme,Steve Ball,United States,06-02-2021,2021,TV-Y,25 min,Children & Family Movies
449,s828,Movie,One Lagos Night,Ekene Som Mekwunye,Nigeria,5/29/2021,2021,TV-14,103 min,"Comedies, International Movies"
450,s822,Movie,The Wedding Guest,Michael Winterbottom,United Kingdom,06-02-2021,2018,R,97 min,"Dramas, Romantic Movies, Thrillers"
451,s823,Movie,The Wind,Emma Tammi,United States,06-02-2021,2019,R,88 min,Horror Movies
452,s824,Movie,Then Came You,Peter Hutchings,United States,06-02-2021,2019,TV-MA,97 min,"Comedies, Dramas, Independent Movies"
453,s825,Movie,Welcome Home,George Ratliff,United States,06-02-2021,2018,R,97 min,Thrillers
454,s827,Movie,Bo Burnham: Inside,Bo Burnham,United States,5/30/2021,2021,TV-MA,88 min,Stand-Up Comedy
455,s829,Movie,Collateral Beauty,David Frankel,United States,5/28/2021,2016,PG-13,97 min,Dramas
456,s835,Movie,Blue Miracle,Julio Quintana,United States,5/27/2021,2021,TV-PG,97 min,"Children & Family Movies, Dramas, Faith & Spirituality"
457,s837,Movie,Ghost Lab,Paween Purijitpanya,Thailand,5/27/2021,2021,TV-MA,118 min,"Horror Movies, International Movies, Thrillers"
458,s846,Movie,A Place in the Stars,Steve Gukas,Nigeria,5/25/2021,2014,TV-14,110 min,"Dramas, International Movies, Thrillers"
459,s839,Movie,Soy Rada: Serendipity,Pablo Faro,Argentina,5/27/2021,2021,TV-MA,70 min,Stand-Up Comedy
460,s840,Movie,The Day I lost My Shadow,Soudade Kaadan,Syria,5/27/2021,2018,TV-MA,91 min,"Dramas, Independent Movies, International Movies"
461,s841,Movie,Baggio: The Divine Ponytail,Letizia Lamartire,Italy,5/26/2021,2021,TV-MA,92 min,"Dramas, International Movies, Sports Movies"
462,s847,Movie,Home,Tim Johnson,United States,5/25/2021,2015,PG,94 min,"Children & Family Movies, Comedies, Sci-Fi & Fantasy"
463,s851,Movie,99 Songs,Vishwesh Krishnamoorthy,India,5/21/2021,2021,TV-14,131 min,"Dramas, International Movies, Music & Musicals"
464,s854,Movie,Army of the Dead,Zack Snyder,United States,5/21/2021,2021,R,148 min,"Action & Adventure, Horror Movies"
465,s896,Movie,Oxygen,Alexandre Aja,France,05-12-2021,2021,TV-14,102 min,"Dramas, International Movies, Thrillers"
467,s860,Movie,Asmaa,Amr Salama,Egypt,5/20/2021,2011,TV-14,92 min,"Dramas, International Movies"
468,s861,Movie,Hating Peter Tatchell,Christopher Amos,Australia,5/20/2021,2020,TV-MA,91 min,"Documentaries, International Movies, LGBTQ Movies"
469,s864,Movie,Spy Kids: All the Time in the World,Robert Rodriguez,United States,5/20/2021,2011,PG,88 min,"Children & Family Movies, Comedies"
470,s866,Movie,Sabotage,David Ayer,United States,5/19/2021,2014,R,109 min,"Action & Adventure, Dramas"
471,s867,Movie,Small Town Crime,"Eshom Nelms, Ian Nelms",United States,5/19/2021,2017,R,92 min,Thrillers
474,s876,Movie,Love or Money,Mae Czarina Cruz,Philippines,5/15/2021,2020,TV-MA,116 min,"Dramas, International Movies, Romantic Movies"
475,s871,Movie,Amy Tan: Unintended Memoir,James Redford,United States,5/18/2021,2021,TV-14,101 min,Documentaries
476,s872,Movie,Sardar Ka Grandson,Kaashvie Nair,India,5/18/2021,2021,TV-14,140 min,"Comedies, Dramas, International Movies"
477,s873,Movie,Sleight,J.D. Dillard,United States,5/16/2021,2016,R,89 min,"Dramas, Independent Movies, Sci-Fi & Fantasy"
478,s874,Movie,Ahaan,Nikhil Pherwani,India,5/15/2021,2021,TV-MA,81 min,"Dramas, Independent Movies, International Movies"
479,s878,Movie,Cinema Bandi,Praveen Kandregula,India,5/14/2021,2021,TV-MA,99 min,"Comedies, Independent Movies, International Movies"
480,s879,Movie,Ferry,Cecilia Verheyden,Belgium,5/14/2021,2021,TV-MA,107 min,"Dramas, International Movies, Thrillers"
481,s880,TV Show,Halston,Daniel Minahan,United States,5/14/2021,2021,TV-MA,1 Season,TV Dramas
482,s882,Movie,I Am All Girls,Donovan Marsh,South Africa,5/14/2021,2021,TV-MA,107 min,"Dramas, International Movies, Thrillers"
483,s883,Movie,Jungle Beat: The Movie,Brent Dawes,Mauritius,5/14/2021,2021,TV-Y7,90 min,"Children & Family Movies, Comedies"
484,s886,Movie,Table Manners,Leli Maki,Canada,5/14/2021,2018,TV-MA,104 min,"Comedies, Dramas, International Movies"
485,s888,Movie,The Strange House,Daniel Prochaska,Austria,5/14/2021,2020,TV-MA,100 min,"Horror Movies, International Movies, Thrillers"
486,s890,Movie,The Woman in the Window,Joe Wright,United States,5/14/2021,2021,R,102 min,"Dramas, Thrillers"
488,s893,Movie,Tottaa Pataaka Item Maal,Aditya Kripalani,India,5/13/2021,2018,TV-MA,107 min,"Dramas, Independent Movies, International Movies"
489,s895,Movie,Dance of the Forty One,David Pablos,Mexico,05-12-2021,2021,TV-MA,99 min,"Dramas, Independent Movies, International Movies"
490,s900,Movie,Illegal Woman,Ramon Térmens,Spain,05-11-2021,2020,TV-MA,119 min,"Dramas, International Movies"
491,s902,Movie,Deadly Switch,Svetlana Cvetko,United States,05-10-2021,2019,TV-PG,86 min,"Independent Movies, Thrillers"
492,s904,Movie,Nayattu,Martin Prakkat,India,05-09-2021,2021,TV-MA,122 min,"Dramas, International Movies, Thrillers"
493,s905,Movie,Sleepless,Baran bo Odar,United States,05-08-2021,2017,R,95 min,Action & Adventure
494,s906,Movie,Super Me,Zhang Chong,China,05-08-2021,2021,TV-14,104 min,"Action & Adventure, Dramas, International Movies"
496,s908,Movie,In Our Mothers' Gardens,Shantrelle P. Lewis,United States,05-07-2021,2020,TV-MA,85 min,Documentaries
497,s910,Movie,Milestone,Ivan Ayr,India,05-07-2021,2021,TV-14,98 min,"Dramas, Independent Movies, International Movies"
498,s911,Movie,Monster,Anthony Mandler,United States,05-07-2021,2021,TV-MA,99 min,Dramas
499,s912,TV Show,Sab Jholmaal Hai,Vijay Roche,India,05-07-2021,2017,TV-Y7,2 Seasons,"Kids' TV, TV Comedies"
500,s914,Movie,Time to Dance,Stanley Menino D'Costa,India,05-07-2021,2020,TV-PG,107 min,"Dramas, International Movies, Romantic Movies"
501,s915,Movie,Unrest,Jennifer Brea,United Kingdom,05-07-2021,2017,TV-MA,97 min,Documentaries
502,s916,Movie,And Tomorrow the Entire World,Julia von Heinz,Germany,05-06-2021,2020,TV-MA,112 min,"Dramas, International Movies, Thrillers"
503,s917,Movie,Dead Man Down,Niels Arden Oplev,United States,05-06-2021,2013,R,118 min,Action & Adventure
504,s918,Movie,Framing John DeLorean,"Don Argott, Sheena M. Joyce",United States,05-05-2021,2019,TV-MA,109 min,"Documentaries, Dramas"
505,s920,TV Show,The Sons of Sam: A Descent into Darkness,Joshua Zeman,United States,05-05-2021,2021,TV-MA,1 Season,"Crime TV Shows, Docuseries"
506,s923,Movie,The Clovehitch Killer,Duncan Skiles,United States,05-04-2021,2018,TV-MA,109 min,"Dramas, Independent Movies, Thrillers"
507,s925,Movie,Aliens Stole My Body,Sean McNamara,United States,05-01-2021,2020,PG,88 min,"Children & Family Movies, Comedies"
510,s931,Movie,Due Date,Todd Phillips,United States,05-01-2021,2010,R,95 min,"Action & Adventure, Comedies"
512,s933,Movie,Green Zone,Paul Greengrass,United Kingdom,05-01-2021,2010,R,115 min,Action & Adventure
514,s935,Movie,JT LeRoy,Justin Kelly,United Kingdom,05-01-2021,2018,R,109 min,"Dramas, Independent Movies"
515,s936,Movie,Madagascar 3: Europe's Most Wanted,"Eric Darnell, Tom McGrath, Conrad Vernon",United States,05-01-2021,2012,PG,96 min,"Children & Family Movies, Comedies"
518,s945,Movie,S.M.A.R.T Chase,Charles Martin,China,05-01-2021,2018,TV-MA,94 min,Action & Adventure
519,s946,Movie,Sitting in Limbo,Stella Corradi,United Kingdom,05-01-2021,2020,TV-MA,89 min,"Dramas, International Movies"
522,s949,Movie,Swiped,Ann Deborah Fishman,United States,05-01-2021,2018,TV-14,94 min,Comedies
523,s950,Movie,The Darkest Hour,Chris Gorak,United States,05-01-2021,2011,PG-13,89 min,"Action & Adventure, Sci-Fi & Fantasy"
527,s954,Movie,The Whole Truth,Courtney Hunt,United States,05-01-2021,2016,R,93 min,"Dramas, Thrillers"
528,s955,Movie,The Yeti Adventures,"Pierre Greco, Nancy Florence Savard",Canada,05-01-2021,2018,TV-PG,85 min,"Children & Family Movies, Comedies"
530,s938,Movie,Motu Patlu in Dragon's World,Suhas Kadav,India,05-01-2021,2017,TV-Y7,78 min,"Children & Family Movies, Comedies"
532,s960,Movie,The Disciple,Chaitanya Tamhane,India,4/30/2021,2021,TV-MA,128 min,"Dramas, Independent Movies, International Movies"
533,s963,Movie,The Strangers: Prey at Night,Johannes Roberts,United States,4/30/2021,2018,R,85 min,Horror Movies
534,s961,TV Show,The Innocent,Oriol Paulo,Spain,4/30/2021,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
535,s967,Movie,Get the Grift,Pedro Antonio,Brazil,4/28/2021,2021,TV-MA,95 min,"Comedies, International Movies"
536,s970,Movie,August: Osage County,John Wells,United States,4/27/2021,2014,R,121 min,Dramas
537,s971,Movie,Battle: Los Angeles,Jonathan Liebesman,United States,4/27/2021,2011,PG-13,116 min,"Action & Adventure, Sci-Fi & Fantasy"
